"orderid","orderdate","shipmode","customerid","productid","sales","quantity","discount","product","profit"
1001,"2024-01-05","Standard","C001","P001","3000.00",1,"0.10","Sedan","2700.00"
1002,"2024-01-06","Express","C002","P002","1500.00",2,"0.05","SUV","1425.00"
1003,"2024-01-08","Standard","C003","P003","4500.00",1,"0.15","Coupe","3825.00"
1004,"2024-01-09","Express","C004","P004","5000.00",2,"0.20","Convertible","4000.00"
1005,"2024-01-10","Standard","C005","P005","2800.00",3,"0.10","Hatchback","2520.00"
1006,"2024-01-12","Express","C006","P006","3400.00",2,"0.08","Sedan","3128.00"
1007,"2024-01-14","Standard","C007","P007","4200.00",1,"0.12","SUV","3696.00"
1008,"2024-01-15","Express","C008","P008","4800.00",2,"0.18","Coupe","3936.00"
1009,"2024-01-16","Standard","C009","P009","2900.00",2,"0.05","Convertible","2755.00"
1010,"2024-01-17","Express","C010","P010","3500.00",1,"0.10","Hatchback","3150.00"
1011,"2024-01-18","Standard","C011","P011","6000.00",3,"0.25","Sedan","4500.00"
1012,"2024-01-19","Express","C012","P012","3100.00",2,"0.15","SUV","2635.00"
1013,"2024-01-20","Standard","C013","P013","4200.00",1,"0.10","Coupe","3330.00"
1014,"2024-01-22","Express","C014","P014","2900.00",2,"0.08","Hatchback","2668.00"
1015,"2024-01-23","Standard","C015","P015","4200.00",1,"0.12","Sedan","3784.00"
1016,"2024-01-24","Express","C016","P016","3100.00",2,"0.05","Coupe","2955.00"
1017,"2024-01-25","Standard","C017","P017","4000.00",3,"0.15","Convertible","3400.00"
1018,"2024-01-26","Express","C018","P018","3000.00",2,"0.10","Hatchback","2610.00"
1019,"2024-01-27","Standard","C019","P019","2900.00",1,"0.10","Convertible","2610.00"
1020,"2024-01-28","Express","C020","P020","2500.00",2,"0.05","Hatchback","2480.00"
1021,"2024-01-29","Standard","C021","P021","5000.00",2,"0.20","Sedan","4125.00"
1022,"2024-01-30","Express","C022","P022","3100.00",2,"0.12","SUV","3168.00"
1023,"2024-01-31","Standard","C023","P023","2000.00",1,"0.15","Coupe","3570.00"
1024,"2024-02-02","Express","C024","P024","4200.00",2,"0.10","Convertible","3844.00"
1025,"2024-02-03","Standard","C025","P025","3000.00",2,"0.05","Hatchback","2850.00"
